id,name,affiliation,homepage,scholarid,dblpid,subareas
f390,Hyun-Sik Kim,Unknown,,,89/6360,Circuits & VLSI Design
f391,Bernhard Wicht,University of Hannover,,,67/9852,Circuits & VLSI Design
f392,Minkyu Je,Unknown,,,53/3101,Circuits & VLSI Design
f393,Lu Jie,Unknown,,,375/2289-1,Circuits & VLSI Design
f394,David D. Wentzloff,Unknown,,,15/1047,Circuits & VLSI Design
f395,Matthew L. Johnston,Unknown,,,206/8225,Circuits & VLSI Design
f396,Baoyong Chi,Unknown,,,92/1659,Circuits & VLSI Design
f397,Sai Manoj P. D.,Unknown,,,127/9058,EDA
f398,Setareh Rafatirad,Unknown,,,99/7115,EDA
f399,Brandon Reagen,New York University,,,135/8203,Computer Architecture
f400,Siddharth Garg,New York University,,,94/3807,EDA
f401,Grace Li Zhang,Unknown,,,179/3068,EDA
f402,Leland Chang,Unknown,,,45/4122,Circuits & VLSI Design
f403,Jonathan Bachrach,Unknown,,,92/2089,EDA
f404,Rangharajan Venkatesan,Unknown,,,76/10051,EDA
f405,Linghao Song,Unknown,,,163/3673,EDA
f406,Ziran Zhu,Unknown,,,193/3138,EDA
f407,Christian Pilato,Politecnico di Milano,,,28/2305,EDA
f408,Anand Sivasubramaniam,Pennsylvania State University,,,72/3356,Computer Architecture
f409,Valeria Bertacco,University of Michigan,,,51/4859,EDA
f410,Torsten Hoefler,ETH Zurich,,,16/3869,EDA
f411,Ingrid Verbauwhede,KU Leuven,,,92/16,EDA
f412,Weisheng Zhao,Unknown,,,48/5196-1,EDA
f413,Duo Liu,Chongqing University,,,91/620-2,EDA
f414,Saransh Gupta,Unknown,,,202/9498,EDA
f415,Daniel Große,Unknown,,,68/758,EDA
f416,Zishen Wan,Unknown,,,249/8047,EDA
f417,Michael T. Niemier,University of Notre Dame,,,62/3778,EDA
f418,Mojan Javaheripi,Unknown,,,229/4177,EDA
f419,Jinshan Yue,Unknown,,,180/3832,Circuits & VLSI Design
f420,Zhaoyan Shen,Shandong University,,,150/0554,EDA
f421,Zili Shao,Chinese University of Hong Kong,,,08/6845,EDA
f422,Gang Qu,Unknown,,,04/3130,EDA
f423,Henry Hoffmann,University of Chicago,,,h/HenryHoffmann,Computer Architecture
f424,Guojie Luo,Peking University,,,30/6124,EDA
f425,Raghavan Kumar,Unknown,,,25/9979,Circuits & VLSI Design
f426,Hanrui Wang,Unknown,,,214/9819-2,EDA
f427,Yongan Zhang,Unknown,,,137/8349,EDA
f428,Mohammad Abdullah Al Faruque,Univ. of California - Irvine,,,06/1521,EDA
f429,Qiang Xu,Unknown,,,43/1230-1,EDA
f430,Qiaochu Zhang,Unknown,,,239/2026,EDA
f431,Sumit Kumar Jha,University of Florida,,,05/5046-1,EDA
f432,Long Zheng,Unknown,,,68/6274-3,Computer Architecture
f433,Yu Huang,Unknown,,,39/6301-13,Computer Architecture
f434,Hamid Sarbazi-Azad,Sharif University of Technology,,,36/139,Computer Architecture
f435,Size Zheng,Unknown,,,254/6617-1,Computer Architecture
f436,Vivienne Sze,Massachusetts Inst. of Technology,,,49/3209,Computer Architecture
f437,Jagadish B. Kotra,Unknown,,,135/5520,Computer Architecture
f438,Mingyu Gao,Unknown,,,61/7672-1,Computer Architecture
f439,Ehsan Afshari,Unknown,,,08/9430,Circuits & VLSI Design
f440,Hongzhong Zheng,Unknown,,,95/4848,Computer Architecture
f441,Satish Narayanasamy,University of Michigan,,,27/3820,Computer Architecture
f442,Jayesh Gaur,Unknown,,,46/6130,Computer Architecture
f443,Arvind,Unknown,,,a/Arvind,Computer Architecture
f444,Magnus Jahre,NTNU,,,88/2818,Computer Architecture
f445,Vijay Nagarajan,University of Utah,,,24/1972,Computer Architecture
f446,Ashish Venkat,University of Virginia,,,76/11029,Computer Architecture
f447,Chenhao Xie,Unknown,,,175/5479-1,Computer Architecture
f448,Yunho Oh,Korea University,,,128/6741,Computer Architecture
f449,Jonathan M. Baker,Unknown,,,234/9143,Computer Architecture
f450,Sam Ainsworth,Unknown,,,181/0549,Computer Architecture
f451,Timothy M. Jones,Unknown,,,62/1131,Computer Architecture
f452,Taha Shahroodi,Unknown,,,237/7886,Computer Architecture
f453,Jaehyuk Huh,Unknown,,,83/5240,Computer Architecture
f454,Mattan Erez,Unknown,,,95/2048,Computer Architecture
f455,Joseph Devietti,University of Pennsylvania,,,83/3984,Computer Architecture
f456,Poulami Das,Unknown,,,236/5061,Computer Architecture
f457,Xiangxing Yang,Unknown,,,237/1212,Circuits & VLSI Design
f458,Huiyang Zhou,North Carolina State University,,,91/3111,Computer Architecture
f459,Visvesh S. Sathe,Unknown,,,48/298-1,Circuits & VLSI Design
